epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,280.258,0.59021,0.36821,0.81363,0.99387,0.98351,0.98322,0.86316,0.47438,0.31759,0.78216,0.000990365,0.000990365,0.000990365
43,287.256,0.57292,0.35831,0.80674,0.99268,0.98342,0.98533,0.87041,0.46112,0.31357,0.78099,0.000973861,0.000973861,0.000973861
44,293.478,0.60225,0.36177,0.8165,0.99369,0.98229,0.98448,0.86945,0.48393,0.31271,0.78445,0.000957358,0.000957358,0.000957358
45,299.267,0.57675,0.3589,0.81011,0.99339,0.98133,0.9852,0.86366,0.47497,0.3032,0.78364,0.000940855,0.000940855,0.000940855
46,306.121,0.54705,0.33834,0.81012,0.99407,0.98224,0.98632,0.86758,0.47632,0.31281,0.78652,0.000924352,0.000924352,0.000924352
47,312.585,0.55498,0.33974,0.81403,0.99336,0.98103,0.9858,0.86805,0.47156,0.30935,0.78594,0.000907848,0.000907848,0.000907848
48,318.951,0.54465,0.34555,0.81371,0.99323,0.98109,0.98569,0.85992,0.49253,0.30831,0.78424,0.000891345,0.000891345,0.000891345
49,324.911,0.54561,0.34687,0.8167,0.99269,0.98109,0.98544,0.8625,0.48832,0.31893,0.78547,0.000874842,0.000874842,0.000874842
50,330.959,0.56028,0.34445,0.81191,0.99367,0.9806,0.98602,0.85877,0.49086,0.30837,0.78324,0.000858338,0.000858338,0.000858338
51,337.971,0.55763,0.34593,0.80878,0.99404,0.98102,0.98523,0.86156,0.46664,0.30998,0.78175,0.000841835,0.000841835,0.000841835
52,344.166,0.54799,0.34827,0.80835,0.99415,0.98238,0.9857,0.86616,0.48201,0.30727,0.7811,0.000825332,0.000825332,0.000825332
53,350.158,0.53689,0.33499,0.80787,0.99453,0.9807,0.98385,0.86877,0.49586,0.31764,0.78439,0.000808828,0.000808828,0.000808828
54,356.794,0.5482,0.33825,0.7997,0.99176,0.98296,0.98282,0.86084,0.48055,0.31601,0.78117,0.000792325,0.000792325,0.000792325
55,363.148,0.56884,0.34306,0.80808,0.9923,0.98064,0.98287,0.85495,0.50692,0.32184,0.78784,0.000775822,0.000775822,0.000775822
56,369.97,0.55434,0.34038,0.80315,0.9937,0.98257,0.98266,0.86996,0.456,0.29405,0.78056,0.000759318,0.000759318,0.000759318
57,375.812,0.52381,0.32592,0.80642,0.994,0.98237,0.98391,0.87109,0.48022,0.29778,0.7819,0.000742815,0.000742815,0.000742815
58,382.319,0.51208,0.31878,0.80123,0.99323,0.98343,0.98514,0.87672,0.444,0.28861,0.78019,0.000726312,0.000726312,0.000726312
59,388.391,0.52712,0.31894,0.80646,0.99339,0.98109,0.98613,0.87731,0.44785,0.28671,0.77937,0.000709809,0.000709809,0.000709809
60,395.394,0.53423,0.31984,0.8109,0.99302,0.98109,0.98642,0.88185,0.45185,0.28816,0.77969,0.000693305,0.000693305,0.000693305
61,402.909,0.53113,0.32434,0.80955,0.9935,0.98334,0.98562,0.87604,0.45173,0.27995,0.781,0.000676802,0.000676802,0.000676802
62,409.595,0.52152,0.32455,0.8021,0.99418,0.98232,0.98566,0.8785,0.45534,0.2807,0.78035,0.000660299,0.000660299,0.000660299
63,415.665,0.51506,0.31653,0.80491,0.99401,0.98348,0.98565,0.86626,0.46204,0.28813,0.78187,0.000643795,0.000643795,0.000643795
